user,fullname,tweet-id,timestamp,url,likes,replies,retweets,text,html
lightfoot,lightfoot 소하 osolage,120671452,2007-06-25 23:47:22,/lightfoot/status/120671452,0,0,0,fat cat is standing over fly carcass waiting on it to come back alive....,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">fat <strong>cat</strong> is standing over fly carcass waiting on it to come back alive....</p>"
lightfoot,lightfoot 소하 osolage,120655862,2007-06-25 23:32:23,/lightfoot/status/120655862,0,0,0,fat cat finally kills another rogue fly. . . just found the fly . . . dead . . . . under his paw of death!,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">fat <strong>cat</strong> finally kills another rogue fly. . . just found the fly . . . dead . . . . under his paw of death!</p>"
BxRvrPkwy,BxRvrPkwy,120653942,2007-06-25 23:30:37,/BxRvrPkwy/status/120653942,0,0,0,"Smoking Section :: “Since You Became A Paid Cat T.I. You Been So Laidback…”
http://tinyurl.com/39sk95","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Smoking Section :: “Since You Became A Paid <strong>Cat</strong> T.I. You Been So Laidback…”
http://tinyurl.com/39sk95</p>"
5569,★ひろの★,120648262,2007-06-25 23:25:22,/5569/status/120648262,0,0,0,@stray_cat qiiip,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""und""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""7069002"" dir=""ltr"" href=""/stray_cat""><s>@</s><b>stray_<strong>cat</strong></b></a> qiiip</p>"
sMoRTy71,Shawn Morton,120646202,2007-06-25 23:22:53,/sMoRTy71/status/120646202,0,0,0,Taking our cats to get their shots.,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Taking our <strong>cats</strong> to get their shots.</p>"
photolee,Lee Alderman Ely,120630912,2007-06-25 23:07:11,/photolee/status/120630912,0,0,0,Hmm. Just learned that cats (well mine) like apples. Strange!,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Hmm. Just learned that <strong>cats</strong> (well mine) like apples. Strange!</p>"
indiepoprocks,Indie Pop Rocks,120617642,2007-06-25 22:54:57,/indiepoprocks/status/120617642,0,0,0,Cat Power - After It All,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><strong>Cat</strong> Power - After It All</p>"
MoInColumbusOH,Maureen McCabe,120612052,2007-06-25 22:49:36,/MoInColumbusOH/status/120612052,0,0,0,Leaving the office to go home and feed the dog and cat....,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Leaving the office to go home and feed the dog and <strong>cat</strong>....</p>"
chrome47,Brad Blackman,120607402,2007-06-25 22:44:37,/chrome47/status/120607402,0,0,0,My headache is gone but my stomach still  feels icky. I think I'm allergic to my cousin's cats.,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">My headache is gone but my stomach still  feels icky. I think I'm allergic to my cousin's <strong>cats</strong>.</p>"
lisajill,Lisa / Leah Sarah / LDubz / Namrah / Hacha / Derae,120606622,2007-06-25 22:43:35,/lisajill/status/120606622,0,0,0,got boxes! Must be careful not to accidentally box cat or two.,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">got boxes! Must be careful not to accidentally box <strong>cat</strong> or two.</p>"
Shiftless,Ryan,120604482,2007-06-25 22:41:18,/Shiftless/status/120604482,0,0,0,"My cat has dandruff, so I'm putting a little olive oil in her cat treats. She doesn't like the Omega 3 fish stuff, so it should help.","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">My <strong>cat</strong> has dandruff, so I'm putting a little olive oil in her <strong>cat</strong> treats. She doesn't like the Omega 3 fish stuff, so it should help.</p>"
ErEkoSuave,Eric,120584372,2007-06-25 22:21:07,/ErEkoSuave/status/120584372,0,0,0,Listening to: Stray Cats - Rock This Town http://tinyurl.com/yt75xw,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Listening to: Stray <strong>Cats</strong> - Rock This Town http://tinyurl.com/yt75xw</p>"
Alexis_Murda,Alexis M Walter,120577262,2007-06-25 22:13:31,/Alexis_Murda/status/120577262,0,0,0,@twitter_mosaic cats!,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""6633982"" dir=""ltr"" href=""/twitter_mosaic""><s>@</s><b>twitter_mosaic</b></a> <strong>cats</strong>!</p>"
kittydoom,Kittydoom,120565772,2007-06-25 22:04:09,/kittydoom/status/120565772,0,0,0,"NO NO NO NO NO NO NO! The thunder needs to stop. Seriously. I'm going to go hide on my bed under a pile of cats, kthx.","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">NO NO NO NO NO NO NO! The thunder needs to stop. Seriously. I'm going to go hide on my bed under a pile of <strong>cats</strong>, kthx.</p>"
Shopaholic,Shopaholic,120551092,2007-06-25 21:51:42,/Shopaholic/status/120551092,0,0,0,For my birthday. pleeeeease give me a 'Ballerinas PUMA Impulse Cat' on www.onestopshop.nl/twit/1791453,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">For my birthday. pleeeeease give me a 'Ballerinas PUMA Impulse <strong>Cat</strong>' on www.onestopshop.nl/twit/1791453</p>"
xantha,jess,120541162,2007-06-25 21:42:30,/xantha/status/120541162,0,0,0,conversing with the cat. she is happy I am home.,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">conversing with the <strong>cat</strong>. she is happy I am home.</p>"
Shopaholic,Shopaholic,120525932,2007-06-25 21:28:07,/Shopaholic/status/120525932,0,0,0,Its never to hot to buy a 'Dames streetschoen Golf Cat' on www.onestopshop.nl/twit/1802500,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Its never to hot to buy a 'Dames streetschoen Golf <strong>Cat</strong>' on www.onestopshop.nl/twit/1802500</p>"
solipsistic,solipsistic NATION,120517242,2007-06-25 21:19:17,/solipsistic/status/120517242,0,0,0,"Watching Private Life of a Cat (http://tinyurl.com/2cvlmz). Ewww, birth scene!","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Watching Private Life of a <strong>Cat</strong> (http://tinyurl.com/2cvlmz). Ewww, birth scene!</p>"
phoopee3,jason,120516952,2007-06-25 21:19:01,/phoopee3/status/120516952,0,0,0,trying to play with a big cat,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">trying to play with a big <strong>cat</strong></p>"
marrije,marrije schaake,120514622,2007-06-25 21:16:37,/marrije/status/120514622,0,0,0,Accidentally kicked a snail across the garden  while putting the cat to bed...,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Accidentally kicked a snail across the garden  while putting the <strong>cat</strong> to bed...</p>"
Scott_VS,Scott VonSchilling,120488262,2007-06-25 20:53:29,/Scott_VS/status/120488262,0,0,0,"@Ilfa I miss the cats too. :-( We call those pictures ""lolcats"" (笑猫) and they are very popular on the internet. http://tinyurl.com/2kcq53","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""6402422"" dir=""ltr"" href=""/Ilfa""><s>@</s><b>Ilfa</b></a> I miss the <strong>cats</strong> too. :-( We call those pictures ""lolcats"" (笑猫) and they are very popular on the internet. http://tinyurl.com/2kcq53</p>"
shaunandrews,Shaun Andrews,120487732,2007-06-25 20:52:55,/shaunandrews/status/120487732,0,0,0,Just picked up the pup from boarding. She's respecting the cats nicely today!,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Just picked up the pup from boarding. She's respecting the <strong>cats</strong> nicely today!</p>"
cafistar,わくわくスナイパー ٩( 'ω' )و,120474732,2007-06-25 20:40:38,/cafistar/status/120474732,0,0,0,"普通に「I wann'a (見る) cat's photos,when (メンテ中)」でいいのかな？","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""ja"">普通に「I wann'a (見る) <strong>cat</strong>'s photos,when (メンテ中)」でいいのかな？</p>"
raysuccre,Ray Succre / RJM,120468082,2007-06-25 20:35:05,/raysuccre/status/120468082,0,0,0,"An acceptance at ""Clockwise Cat"" for two poems.","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">An acceptance at ""Clockwise <strong>Cat</strong>"" for two poems.</p>"
lisajill,Lisa / Leah Sarah / LDubz / Namrah / Hacha / Derae,120455542,2007-06-25 20:23:49,/lisajill/status/120455542,0,0,0,"@knight777 I vent ot my cats, it works - if they're not available I vent to a one of my stuffed animals.  It's very therapeutic. ;)","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""1043068692"" dir=""ltr"" href=""/knight777""><s>@</s><b>knight777</b></a> I vent ot my <strong>cats</strong>, it works - if they're not available I vent to a one of my stuffed animals.  It's very therapeutic. ;)</p>"
Phase0329,ふぇいず,120442052,2007-06-25 20:11:29,/Phase0329/status/120442052,0,0,0,@wired_cat あと最近気づいたんだけど、もしかしてキミっておなかが減るとだんだん目が大きくなる？,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""ja""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""6918152"" dir=""ltr"" href=""/wired_cat""><s>@</s><b>wired_<strong>cat</strong></b></a> あと最近気づいたんだけど、もしかしてキミっておなかが減るとだんだん目が大きくなる？</p>"
Phase0329,ふぇいず,120441422,2007-06-25 20:10:56,/Phase0329/status/120441422,0,0,0,@wired_cat アチョーホホイホーイ,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""ja""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""6918152"" dir=""ltr"" href=""/wired_cat""><s>@</s><b>wired_<strong>cat</strong></b></a> アチョーホホイホーイ</p>"
stray_cat,stray_cat,120437542,2007-06-25 20:07:35,/stray_cat/status/120437542,0,0,0,=^..^= < ハラへ,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""ja"">=^..^= &lt; ハラへ</p>"
send_cat,send_cat,120433142,2007-06-25 20:04:06,/send_cat/status/120433142,0,0,0,=^uu^= < zZz...,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""und"">=^uu^= &lt; zZz...</p>"
cat_psychology,Barbara B MD,120415782,2007-06-25 19:49:44,/cat_psychology/status/120415782,0,0,0,"omg, I loooove Nintendo. My advance replacement of my DS should be here in a week or so. <3333","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">omg, I loooove Nintendo. My advance replacement of my DS should be here in a week or so. &lt;3333</p>"
lightfoot,lightfoot 소하 osolage,120410202,2007-06-25 19:45:07,/lightfoot/status/120410202,0,0,0,fat cat being chased all thru the house by crazy cat....up until crazy went head first into the window and is now out cold,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">fat <strong>cat</strong> being chased all thru the house by crazy <strong>cat</strong>....up until crazy went head first into the window and is now out cold</p>"
cat_psychology,Barbara B MD,120397092,2007-06-25 19:33:27,/cat_psychology/status/120397092,0,0,0,"Done job hunting. Come on people... I know I don't have much experience, but don't you think someone should hire me so I can GET experience?","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Done job hunting. Come on people... I know I don't have much experience, but don't you think someone should hire me so I can GET experience?</p>"
lightfoot,lightfoot 소하 osolage,120381432,2007-06-25 19:18:52,/lightfoot/status/120381432,0,0,0,tape is off and cats are fighting. . . .going to sneak and put some tape on fat cats paw to see how he likes beging chased.,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">tape is off and <strong>cats</strong> are fighting. . . .going to sneak and put some tape on fat <strong>cats</strong> paw to see how he likes beging chased.</p>"
lightfoot,lightfoot 소하 osolage,120379592,2007-06-25 19:17:01,/lightfoot/status/120379592,0,0,0,now fat cat is chasing her and she cant figure out why.,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">now fat <strong>cat</strong> is chasing her and she cant figure out why.</p>"
lightfoot,lightfoot 소하 osolage,120378782,2007-06-25 19:16:19,/lightfoot/status/120378782,0,0,0,****FUNNY**** crazy cat has a piece of tape stuck to her back right paw. since tape was there already i stuck some string on it,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">****FUNNY**** crazy <strong>cat</strong> has a piece of tape stuck to her back right paw. since tape was there already i stuck some string on it</p>"
aniablajan,Ania Blăjan,120376012,2007-06-25 19:13:39,/aniablajan/status/120376012,0,0,0,vote my cat! at http://tinyurl.com/yqb8q2 search kitty and she's the first one after the search! the black one!,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">vote my <strong>cat</strong>! at http://tinyurl.com/yqb8q2 search kitty and she's the first one after the search! the black one!</p>"
Shopaholic,Shopaholic,120368352,2007-06-25 19:07:16,/Shopaholic/status/120368352,0,0,0,I wish I already bought this 'Puma Esito Cat II Trainer Junior' on www.onestopshop.nl/twit/1804314,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">I wish I already bought this 'Puma Esito <strong>Cat</strong> II Trainer Junior' on www.onestopshop.nl/twit/1804314</p>"
chaostocosmos,Chaos to Cosmos,120363842,2007-06-25 19:03:50,/chaostocosmos/status/120363842,0,0,0,Looking Outside: Looking Outside from sugaree_gd (Kerrie) 	See more cat photos in the Cat-A-Log pool or ad.. http://tinyurl.com/2hkote,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Looking Outside: Looking Outside from sugaree_gd (Kerrie) 	See more <strong>cat</strong> photos in the <strong>Cat</strong>-A-Log pool or ad.. http://tinyurl.com/2hkote</p>"
lightfoot,lightfoot 소하 osolage,120671452,2007-06-25 23:47:22,/lightfoot/status/120671452,0,0,0,fat cat is standing over fly carcass waiting on it to come back alive....,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">fat <strong>cat</strong> is standing over fly carcass waiting on it to come back alive....</p>"
lightfoot,lightfoot 소하 osolage,120655862,2007-06-25 23:32:23,/lightfoot/status/120655862,0,0,0,fat cat finally kills another rogue fly. . . just found the fly . . . dead . . . . under his paw of death!,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">fat <strong>cat</strong> finally kills another rogue fly. . . just found the fly . . . dead . . . . under his paw of death!</p>"
BxRvrPkwy,BxRvrPkwy,120653942,2007-06-25 23:30:37,/BxRvrPkwy/status/120653942,0,0,0,"Smoking Section :: “Since You Became A Paid Cat T.I. You Been So Laidback…”
http://tinyurl.com/39sk95","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Smoking Section :: “Since You Became A Paid <strong>Cat</strong> T.I. You Been So Laidback…”
http://tinyurl.com/39sk95</p>"
5569,★ひろの★,120648262,2007-06-25 23:25:22,/5569/status/120648262,0,0,0,@stray_cat qiiip,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""und""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""7069002"" dir=""ltr"" href=""/stray_cat""><s>@</s><b>stray_<strong>cat</strong></b></a> qiiip</p>"
sMoRTy71,Shawn Morton,120646202,2007-06-25 23:22:53,/sMoRTy71/status/120646202,0,0,0,Taking our cats to get their shots.,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Taking our <strong>cats</strong> to get their shots.</p>"
photolee,Lee Alderman Ely,120630912,2007-06-25 23:07:11,/photolee/status/120630912,0,0,0,Hmm. Just learned that cats (well mine) like apples. Strange!,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Hmm. Just learned that <strong>cats</strong> (well mine) like apples. Strange!</p>"
indiepoprocks,Indie Pop Rocks,120617642,2007-06-25 22:54:57,/indiepoprocks/status/120617642,0,0,0,Cat Power - After It All,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><strong>Cat</strong> Power - After It All</p>"
MoInColumbusOH,Maureen McCabe,120612052,2007-06-25 22:49:36,/MoInColumbusOH/status/120612052,0,0,0,Leaving the office to go home and feed the dog and cat....,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Leaving the office to go home and feed the dog and <strong>cat</strong>....</p>"
chrome47,Brad Blackman,120607402,2007-06-25 22:44:37,/chrome47/status/120607402,0,0,0,My headache is gone but my stomach still  feels icky. I think I'm allergic to my cousin's cats.,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">My headache is gone but my stomach still  feels icky. I think I'm allergic to my cousin's <strong>cats</strong>.</p>"
lisajill,Lisa / Leah Sarah / LDubz / Namrah / Hacha / Derae,120606622,2007-06-25 22:43:35,/lisajill/status/120606622,0,0,0,got boxes! Must be careful not to accidentally box cat or two.,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">got boxes! Must be careful not to accidentally box <strong>cat</strong> or two.</p>"
Shiftless,Ryan,120604482,2007-06-25 22:41:18,/Shiftless/status/120604482,0,0,0,"My cat has dandruff, so I'm putting a little olive oil in her cat treats. She doesn't like the Omega 3 fish stuff, so it should help.","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">My <strong>cat</strong> has dandruff, so I'm putting a little olive oil in her <strong>cat</strong> treats. She doesn't like the Omega 3 fish stuff, so it should help.</p>"
ErEkoSuave,Eric,120584372,2007-06-25 22:21:07,/ErEkoSuave/status/120584372,0,0,0,Listening to: Stray Cats - Rock This Town http://tinyurl.com/yt75xw,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Listening to: Stray <strong>Cats</strong> - Rock This Town http://tinyurl.com/yt75xw</p>"
Alexis_Murda,Alexis M Walter,120577262,2007-06-25 22:13:31,/Alexis_Murda/status/120577262,0,0,0,@twitter_mosaic cats!,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""6633982"" dir=""ltr"" href=""/twitter_mosaic""><s>@</s><b>twitter_mosaic</b></a> <strong>cats</strong>!</p>"
kittydoom,Kittydoom,120565772,2007-06-25 22:04:09,/kittydoom/status/120565772,0,0,0,"NO NO NO NO NO NO NO! The thunder needs to stop. Seriously. I'm going to go hide on my bed under a pile of cats, kthx.","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">NO NO NO NO NO NO NO! The thunder needs to stop. Seriously. I'm going to go hide on my bed under a pile of <strong>cats</strong>, kthx.</p>"
Shopaholic,Shopaholic,120551092,2007-06-25 21:51:42,/Shopaholic/status/120551092,0,0,0,For my birthday. pleeeeease give me a 'Ballerinas PUMA Impulse Cat' on www.onestopshop.nl/twit/1791453,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">For my birthday. pleeeeease give me a 'Ballerinas PUMA Impulse <strong>Cat</strong>' on www.onestopshop.nl/twit/1791453</p>"
xantha,jess,120541162,2007-06-25 21:42:30,/xantha/status/120541162,0,0,0,conversing with the cat. she is happy I am home.,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">conversing with the <strong>cat</strong>. she is happy I am home.</p>"
Shopaholic,Shopaholic,120525932,2007-06-25 21:28:07,/Shopaholic/status/120525932,0,0,0,Its never to hot to buy a 'Dames streetschoen Golf Cat' on www.onestopshop.nl/twit/1802500,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Its never to hot to buy a 'Dames streetschoen Golf <strong>Cat</strong>' on www.onestopshop.nl/twit/1802500</p>"
solipsistic,solipsistic NATION,120517242,2007-06-25 21:19:17,/solipsistic/status/120517242,0,0,0,"Watching Private Life of a Cat (http://tinyurl.com/2cvlmz). Ewww, birth scene!","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Watching Private Life of a <strong>Cat</strong> (http://tinyurl.com/2cvlmz). Ewww, birth scene!</p>"
phoopee3,jason,120516952,2007-06-25 21:19:01,/phoopee3/status/120516952,0,0,0,trying to play with a big cat,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">trying to play with a big <strong>cat</strong></p>"
marrije,marrije schaake,120514622,2007-06-25 21:16:37,/marrije/status/120514622,0,0,0,Accidentally kicked a snail across the garden  while putting the cat to bed...,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Accidentally kicked a snail across the garden  while putting the <strong>cat</strong> to bed...</p>"
lightfoot,lightfoot 소하 osolage,120671452,2007-06-25 23:47:22,/lightfoot/status/120671452,0,0,0,fat cat is standing over fly carcass waiting on it to come back alive....,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">fat <strong>cat</strong> is standing over fly carcass waiting on it to come back alive....</p>"
lightfoot,lightfoot 소하 osolage,120655862,2007-06-25 23:32:23,/lightfoot/status/120655862,0,0,0,fat cat finally kills another rogue fly. . . just found the fly . . . dead . . . . under his paw of death!,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">fat <strong>cat</strong> finally kills another rogue fly. . . just found the fly . . . dead . . . . under his paw of death!</p>"
BxRvrPkwy,BxRvrPkwy,120653942,2007-06-25 23:30:37,/BxRvrPkwy/status/120653942,0,0,0,"Smoking Section :: “Since You Became A Paid Cat T.I. You Been So Laidback…”
http://tinyurl.com/39sk95","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Smoking Section :: “Since You Became A Paid <strong>Cat</strong> T.I. You Been So Laidback…”
http://tinyurl.com/39sk95</p>"
5569,★ひろの★,120648262,2007-06-25 23:25:22,/5569/status/120648262,0,0,0,@stray_cat qiiip,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""und""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""7069002"" dir=""ltr"" href=""/stray_cat""><s>@</s><b>stray_<strong>cat</strong></b></a> qiiip</p>"
sMoRTy71,Shawn Morton,120646202,2007-06-25 23:22:53,/sMoRTy71/status/120646202,0,0,0,Taking our cats to get their shots.,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Taking our <strong>cats</strong> to get their shots.</p>"
photolee,Lee Alderman Ely,120630912,2007-06-25 23:07:11,/photolee/status/120630912,0,0,0,Hmm. Just learned that cats (well mine) like apples. Strange!,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Hmm. Just learned that <strong>cats</strong> (well mine) like apples. Strange!</p>"
indiepoprocks,Indie Pop Rocks,120617642,2007-06-25 22:54:57,/indiepoprocks/status/120617642,0,0,0,Cat Power - After It All,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><strong>Cat</strong> Power - After It All</p>"
MoInColumbusOH,Maureen McCabe,120612052,2007-06-25 22:49:36,/MoInColumbusOH/status/120612052,0,0,0,Leaving the office to go home and feed the dog and cat....,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Leaving the office to go home and feed the dog and <strong>cat</strong>....</p>"
chrome47,Brad Blackman,120607402,2007-06-25 22:44:37,/chrome47/status/120607402,0,0,0,My headache is gone but my stomach still  feels icky. I think I'm allergic to my cousin's cats.,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">My headache is gone but my stomach still  feels icky. I think I'm allergic to my cousin's <strong>cats</strong>.</p>"
lisajill,Lisa / Leah Sarah / LDubz / Namrah / Hacha / Derae,120606622,2007-06-25 22:43:35,/lisajill/status/120606622,0,0,0,got boxes! Must be careful not to accidentally box cat or two.,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">got boxes! Must be careful not to accidentally box <strong>cat</strong> or two.</p>"
Shiftless,Ryan,120604482,2007-06-25 22:41:18,/Shiftless/status/120604482,0,0,0,"My cat has dandruff, so I'm putting a little olive oil in her cat treats. She doesn't like the Omega 3 fish stuff, so it should help.","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">My <strong>cat</strong> has dandruff, so I'm putting a little olive oil in her <strong>cat</strong> treats. She doesn't like the Omega 3 fish stuff, so it should help.</p>"
ErEkoSuave,Eric,120584372,2007-06-25 22:21:07,/ErEkoSuave/status/120584372,0,0,0,Listening to: Stray Cats - Rock This Town http://tinyurl.com/yt75xw,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Listening to: Stray <strong>Cats</strong> - Rock This Town http://tinyurl.com/yt75xw</p>"
Alexis_Murda,Alexis M Walter,120577262,2007-06-25 22:13:31,/Alexis_Murda/status/120577262,0,0,0,@twitter_mosaic cats!,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""6633982"" dir=""ltr"" href=""/twitter_mosaic""><s>@</s><b>twitter_mosaic</b></a> <strong>cats</strong>!</p>"
kittydoom,Kittydoom,120565772,2007-06-25 22:04:09,/kittydoom/status/120565772,0,0,0,"NO NO NO NO NO NO NO! The thunder needs to stop. Seriously. I'm going to go hide on my bed under a pile of cats, kthx.","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">NO NO NO NO NO NO NO! The thunder needs to stop. Seriously. I'm going to go hide on my bed under a pile of <strong>cats</strong>, kthx.</p>"
Shopaholic,Shopaholic,120551092,2007-06-25 21:51:42,/Shopaholic/status/120551092,0,0,0,For my birthday. pleeeeease give me a 'Ballerinas PUMA Impulse Cat' on www.onestopshop.nl/twit/1791453,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">For my birthday. pleeeeease give me a 'Ballerinas PUMA Impulse <strong>Cat</strong>' on www.onestopshop.nl/twit/1791453</p>"
xantha,jess,120541162,2007-06-25 21:42:30,/xantha/status/120541162,0,0,0,conversing with the cat. she is happy I am home.,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">conversing with the <strong>cat</strong>. she is happy I am home.</p>"
Shopaholic,Shopaholic,120525932,2007-06-25 21:28:07,/Shopaholic/status/120525932,0,0,0,Its never to hot to buy a 'Dames streetschoen Golf Cat' on www.onestopshop.nl/twit/1802500,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Its never to hot to buy a 'Dames streetschoen Golf <strong>Cat</strong>' on www.onestopshop.nl/twit/1802500</p>"
